image_path,mask_path
/dev/shm/myramdisk/PH2_resized_224/imgs/IMD138.bmp,/dev/shm/myramdisk/PH2_resized_224/segs/IMD138_lesion.bmp
/dev/shm/myramdisk/PH2_resized_224/imgs/IMD399.bmp,/dev/shm/myramdisk/PH2_resized_224/segs/IMD399_lesion.bmp
/dev/shm/myramdisk/PH2_resized_224/imgs/IMD061.bmp,/dev/shm/myramdisk/PH2_resized_224/segs/IMD061_lesion.bmp
/dev/shm/myramdisk/PH2_resized_224/imgs/IMD103.bmp,/dev/shm/myramdisk/PH2_resized_224/segs/IMD103_lesion.bmp
/dev/shm/myramdisk/PH2_resized_224/imgs/IMD381.bmp,/dev/shm/myramdisk/PH2_resized_224/segs/IMD381_lesion.bmp
/dev/shm/myramdisk/PH2_resized_224/imgs/IMD240.bmp,/dev/shm/myramdisk/PH2_resized_224/segs/IMD240_lesion.bmp
/dev/shm/myramdisk/PH2_resized_224/imgs/IMD206.bmp,/dev/shm/myramdisk/PH2_resized_224/segs/IMD206_lesion.bmp
/dev/shm/myramdisk/PH2_resized_224/imgs/IMD025.bmp,/dev/shm/myramdisk/PH2_resized_224/segs/IMD025_lesion.bmp
/dev/shm/myramdisk/PH2_resized_224/imgs/IMD024.bmp,/dev/shm/myramdisk/PH2_resized_224/segs/IMD024_lesion.bmp
/dev/shm/myramdisk/PH2_resized_224/imgs/IMD430.bmp,/dev/shm/myramdisk/PH2_resized_224/segs/IMD430_lesion.bmp
/dev/shm/myramdisk/PH2_resized_224/imgs/IMD432.bmp,/dev/shm/myramdisk/PH2_resized_224/segs/IMD432_lesion.bmp
/dev/shm/myramdisk/PH2_resized_224/imgs/IMD285.bmp,/dev/shm/myramdisk/PH2_resized_224/segs/IMD285_lesion.bmp
/dev/shm/myramdisk/PH2_resized_224/imgs/IMD420.bmp,/dev/shm/myramdisk/PH2_resized_224/segs/IMD420_lesion.bmp
/dev/shm/myramdisk/PH2_resized_224/imgs/IMD108.bmp,/dev/shm/myramdisk/PH2_resized_224/segs/IMD108_lesion.bmp
/dev/shm/myramdisk/PH2_resized_224/imgs/IMD176.bmp,/dev/shm/myramdisk/PH2_resized_224/segs/IMD176_lesion.bmp
/dev/shm/myramdisk/PH2_resized_224/imgs/IMD135.bmp,/dev/shm/myramdisk/PH2_resized_224/segs/IMD135_lesion.bmp
/dev/shm/myramdisk/PH2_resized_224/imgs/IMD434.bmp,/dev/shm/myramdisk/PH2_resized_224/segs/IMD434_lesion.bmp
/dev/shm/myramdisk/PH2_resized_224/imgs/IMD204.bmp,/dev/shm/myramdisk/PH2_resized_224/segs/IMD204_lesion.bmp
/dev/shm/myramdisk/PH2_resized_224/imgs/IMD154.bmp,/dev/shm/myramdisk/PH2_resized_224/segs/IMD154_lesion.bmp
/dev/shm/myramdisk/PH2_resized_224/imgs/IMD400.bmp,/dev/shm/myramdisk/PH2_resized_224/segs/IMD400_lesion.bmp
/dev/shm/myramdisk/PH2_resized_224/imgs/IMD431.bmp,/dev/shm/myramdisk/PH2_resized_224/segs/IMD431_lesion.bmp
/dev/shm/myramdisk/PH2_resized_224/imgs/IMD398.bmp,/dev/shm/myramdisk/PH2_resized_224/segs/IMD398_lesion.bmp
/dev/shm/myramdisk/PH2_resized_224/imgs/IMD009.bmp,/dev/shm/myramdisk/PH2_resized_224/segs/IMD009_lesion.bmp
/dev/shm/myramdisk/PH2_resized_224/imgs/IMD304.bmp,/dev/shm/myramdisk/PH2_resized_224/segs/IMD304_lesion.bmp
/dev/shm/myramdisk/PH2_resized_224/imgs/IMD425.bmp,/dev/shm/myramdisk/PH2_resized_224/segs/IMD425_lesion.bmp
/dev/shm/myramdisk/PH2_resized_224/imgs/IMD022.bmp,/dev/shm/myramdisk/PH2_resized_224/segs/IMD022_lesion.bmp
/dev/shm/myramdisk/PH2_resized_224/imgs/IMD211.bmp,/dev/shm/myramdisk/PH2_resized_224/segs/IMD211_lesion.bmp
/dev/shm/myramdisk/PH2_resized_224/imgs/IMD411.bmp,/dev/shm/myramdisk/PH2_resized_224/segs/IMD411_lesion.bmp
/dev/shm/myramdisk/PH2_resized_224/imgs/IMD013.bmp,/dev/shm/myramdisk/PH2_resized_224/segs/IMD013_lesion.bmp
/dev/shm/myramdisk/PH2_resized_224/imgs/IMD168.bmp,/dev/shm/myramdisk/PH2_resized_224/segs/IMD168_lesion.bmp
/dev/shm/myramdisk/PH2_resized_224/imgs/IMD372.bmp,/dev/shm/myramdisk/PH2_resized_224/segs/IMD372_lesion.bmp
/dev/shm/myramdisk/PH2_resized_224/imgs/IMD166.bmp,/dev/shm/myramdisk/PH2_resized_224/segs/IMD166_lesion.bmp
/dev/shm/myramdisk/PH2_resized_224/imgs/IMD410.bmp,/dev/shm/myramdisk/PH2_resized_224/segs/IMD410_lesion.bmp
/dev/shm/myramdisk/PH2_resized_224/imgs/IMD169.bmp,/dev/shm/myramdisk/PH2_resized_224/segs/IMD169_lesion.bmp
/dev/shm/myramdisk/PH2_resized_224/imgs/IMD042.bmp,/dev/shm/myramdisk/PH2_resized_224/segs/IMD042_lesion.bmp
/dev/shm/myramdisk/PH2_resized_224/imgs/IMD388.bmp,/dev/shm/myramdisk/PH2_resized_224/segs/IMD388_lesion.bmp
/dev/shm/myramdisk/PH2_resized_224/imgs/IMD182.bmp,/dev/shm/myramdisk/PH2_resized_224/segs/IMD182_lesion.bmp
/dev/shm/myramdisk/PH2_resized_224/imgs/IMD408.bmp,/dev/shm/myramdisk/PH2_resized_224/segs/IMD408_lesion.bmp
/dev/shm/myramdisk/PH2_resized_224/imgs/IMD088.bmp,/dev/shm/myramdisk/PH2_resized_224/segs/IMD088_lesion.bmp
/dev/shm/myramdisk/PH2_resized_224/imgs/IMD156.bmp,/dev/shm/myramdisk/PH2_resized_224/segs/IMD156_lesion.bmp
/dev/shm/myramdisk/PH2_resized_224/imgs/IMD376.bmp,/dev/shm/myramdisk/PH2_resized_224/segs/IMD376_lesion.bmp
/dev/shm/myramdisk/PH2_resized_224/imgs/IMD143.bmp,/dev/shm/myramdisk/PH2_resized_224/segs/IMD143_lesion.bmp
/dev/shm/myramdisk/PH2_resized_224/imgs/IMD063.bmp,/dev/shm/myramdisk/PH2_resized_224/segs/IMD063_lesion.bmp
/dev/shm/myramdisk/PH2_resized_224/imgs/IMD426.bmp,/dev/shm/myramdisk/PH2_resized_224/segs/IMD426_lesion.bmp
/dev/shm/myramdisk/PH2_resized_224/imgs/IMD014.bmp,/dev/shm/myramdisk/PH2_resized_224/segs/IMD014_lesion.bmp
/dev/shm/myramdisk/PH2_resized_224/imgs/IMD147.bmp,/dev/shm/myramdisk/PH2_resized_224/segs/IMD147_lesion.bmp
/dev/shm/myramdisk/PH2_resized_224/imgs/IMD045.bmp,/dev/shm/myramdisk/PH2_resized_224/segs/IMD045_lesion.bmp
/dev/shm/myramdisk/PH2_resized_224/imgs/IMD389.bmp,/dev/shm/myramdisk/PH2_resized_224/segs/IMD389_lesion.bmp
/dev/shm/myramdisk/PH2_resized_224/imgs/IMD436.bmp,/dev/shm/myramdisk/PH2_resized_224/segs/IMD436_lesion.bmp
/dev/shm/myramdisk/PH2_resized_224/imgs/IMD075.bmp,/dev/shm/myramdisk/PH2_resized_224/segs/IMD075_lesion.bmp
/dev/shm/myramdisk/PH2_resized_224/imgs/IMD161.bmp,/dev/shm/myramdisk/PH2_resized_224/segs/IMD161_lesion.bmp
/dev/shm/myramdisk/PH2_resized_224/imgs/IMD023.bmp,/dev/shm/myramdisk/PH2_resized_224/segs/IMD023_lesion.bmp
/dev/shm/myramdisk/PH2_resized_224/imgs/IMD043.bmp,/dev/shm/myramdisk/PH2_resized_224/segs/IMD043_lesion.bmp
/dev/shm/myramdisk/PH2_resized_224/imgs/IMD256.bmp,/dev/shm/myramdisk/PH2_resized_224/segs/IMD256_lesion.bmp
/dev/shm/myramdisk/PH2_resized_224/imgs/IMD312.bmp,/dev/shm/myramdisk/PH2_resized_224/segs/IMD312_lesion.bmp
/dev/shm/myramdisk/PH2_resized_224/imgs/IMD279.bmp,/dev/shm/myramdisk/PH2_resized_224/segs/IMD279_lesion.bmp
/dev/shm/myramdisk/PH2_resized_224/imgs/IMD048.bmp,/dev/shm/myramdisk/PH2_resized_224/segs/IMD048_lesion.bmp
/dev/shm/myramdisk/PH2_resized_224/imgs/IMD423.bmp,/dev/shm/myramdisk/PH2_resized_224/segs/IMD423_lesion.bmp
/dev/shm/myramdisk/PH2_resized_224/imgs/IMD370.bmp,/dev/shm/myramdisk/PH2_resized_224/segs/IMD370_lesion.bmp
/dev/shm/myramdisk/PH2_resized_224/imgs/IMD139.bmp,/dev/shm/myramdisk/PH2_resized_224/segs/IMD139_lesion.bmp
/dev/shm/myramdisk/PH2_resized_224/imgs/IMD016.bmp,/dev/shm/myramdisk/PH2_resized_224/segs/IMD016_lesion.bmp
